user,month,future_store,s2b,wumart-scm,wz,zt_1,zt_2
Yan.Liu,2,258,2428,0,0,0,0
Quan.Zhou,2,0,0,0,0,0,6544
Lin.Li,1,0,0,0,0,0,85812
Xiaoqian.Zhou,6,2910,0,0,0,0,0
Jie.Bao,6,0,0,19916,0,0,0
Zhenwei.Cao,3,0,0,29508,0,0,0
Bing.Liu,4,0,0,48368,0,0,0
Yi.Liu,1,0,21598,0,0,0,0
Yongjian.Liu,5,24218,0,0,0,0,0
Jie.Bao,3,0,0,93508,0,0,0
Xiaoqian.Zhou,2,0,1352,0,0,0,0
Yan.Liu,4,0,17366,0,0,0,0
Hanquan.Lin,2,0,0,0,296,0,0
Wen.Tan,6,0,0,398,0,0,0
Remi,6,0,0,0,0,94,0
yangjc,5,0,0,0,0,1884,0
Tao.Feng,4,0,0,17852,0,0,0
Lin.Li,5,0,0,0,0,0,15854
wangchengjie,5,0,0,32168,0,0,0
Quan.Zhou,6,0,0,0,0,2,0
Jin.Peng,6,0,0,21480,0,0,0
zhangchaoyao,6,0,380,0,0,0,0
Yi.Liu,5,0,1728,0,0,0,0
Zhenwei.Cao,4,0,0,56768,0,0,0
Yongjian.Liu,1,20782,4326,0,0,0,0
Jichao.Yang,5,0,0,0,0,480,0
Remi,3,20,0,0,0,0,0
Bin.Liu,5,0,7548,0,0,0,0
Zhiqiang.Chen,6,0,0,2648,0,0,0
Lin.Li,2,0,0,0,0,0,16864
Yan.Liu,1,924,4320,0,0,0,0
Wolong.Jiang,2,5346,0,0,0,0,0
Zhenwei.Cao,5,0,0,49936,0,0,0
Yongjian.Liu,3,2696,0,0,0,0,0
wangchengjie,4,0,0,51098,0,0,0
Yi.Liu,2,0,3542,0,0,0,0
Xu.Tian,3,0,0,0,0,2222,930
Yongjian.Liu,4,2854,0,0,0,0,0
Tao.Feng,5,0,0,48038,0,0,0
Lin.Li,4,0,0,0,0,0,14212
Wolong.Jiang,6,6474,20,0,0,0,0
Xiaoxi.Zhang,5,0,2224,0,0,0,0
wangchengjie,3,0,0,6,0,0,0
Yan.Liu,5,0,692,0,0,0,0
Jie.Bao,7,0,0,1518,0,0,0
Xu.Tian,6,0,0,0,0,2,0
Yongqi.Guo,6,0,0,0,246,0,0
Yi.Liu,4,0,9392,0,0,0,0
yangjc,6,0,0,0,0,5260,0
Lin.Li,6,0,0,0,0,0,414
Hanquan.Lin,4,0,0,0,3106,0,0
Wen.Tan,5,0,0,174,0,0,0
Yongqi.Guo,5,0,0,0,4198,0,0
Yi.Liu,3,0,18946,0,0,0,0
Xiaoqian.Zhou,4,0,1616,0,0,0,0
Bin.Liu,6,0,13666,0,0,0,0
Xu.Tian,4,0,0,0,0,12968,0
Lin.Li,3,0,0,0,0,0,4702
Wolong.Jiang,5,274,844,0,0,0,0
Xiaoxi.Zhang,6,0,11256,0,0,0,0
Quan.Zhou,3,0,0,0,0,1356,58
Jin.Peng,5,0,0,15112,0,0,0
Remi,1,4218,0,0,0,0,0
Jie.Bao,5,0,0,25032,0,0,0
Quan.Zhou,4,0,0,0,0,5794,256
Xu.Tian,2,0,0,0,0,0,6228
zhangchaoyao,4,0,116,0,0,0,0
Tao.Feng,7,0,0,664,0,0,0
Hanquan.Lin,3,0,0,0,7360,0,0
Wolong.Jiang,1,17354,0,0,0,0,0
Xiaoqian.Zhou,3,0,270,0,0,0,0
Zhenwei.Cao,6,0,0,49334,0,0,0
zhangchaoyao,5,0,1602,0,0,0,0
Tao.Feng,6,0,0,36082,0,0,0
Yongqi.Guo,3,0,4,0,0,0,0
Yongjian.Liu,2,3244,0,0,0,0,0
Hanquan.Lin,1,0,0,0,53514,0,0
Wolong.Jiang,3,2112,0,0,0,0,0
Yan.Liu,3,0,4102,0,0,0,0
Jin.Peng,4,0,0,23196,0,0,0
Xiaoqian.Zhou,1,0,2354,0,0,0,0
Hengliang.Tang,6,0,0,0,0,2016,0
Haiwen.Ji,1,0,0,0,24374,0,0
Xu.Tian,5,0,0,0,0,902,804
Tao.Feng,3,0,0,4570,0,0,0
wangchengjie,6,0,0,12682,0,0,0
Quan.Zhou,5,0,0,0,0,1754,54
Wolong.Jiang,4,3110,1024,0,0,0,0
Yongjian.Liu,6,252,0,0,0,0,0
Remi,2,5028,0,0,0,0,0
Jie.Bao,4,0,0,45856,0,0,0
Quan.Zhou,1,0,0,0,0,256,25220
Xiaoqian.Zhou,5,800,330,0,0,0,0
Yongqi.Guo,4,0,0,0,8966,0,0
Bing.Liu,3,0,0,62148,0,0,0
Xu.Tian,1,0,0,0,0,592,50508
